image_name,image_id,class,class_id,fruit,vegetable,common_name,scientific_name,cultivar,specimen_id,day,storage,temperature_c,humidity_rh,weight_g,weight_loss_pct,diameter_mm,firmness_n,ripeness,ripeness_id,freshness,remaining_shelf_life,day_spoiled,camera,lighting,image_width,image_height,photographer,view,session,relative_path,qc_pass,source_dataset,source_split,label_origin,rsl_is_proxy,split
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f457_620f6d9d8c.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f457_620f6d9d8c,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-620f6d9d8c,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f457_620f6d9d8c.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f103_a3729670f7.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f103_a3729670f7,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-a3729670f7,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f103_a3729670f7.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_45_Screen Shot 2018-06-08 at 5.01.08 PM_761a3de359.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_45_Screen Shot 2018-06-08 at 5.01.08 PM_761a3de359,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-761a3de359,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_45_Screen Shot 2018-06-08 at 5.01.08 PM_761a3de359.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,test
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_30_Screen Shot 2018-06-08 at 5.13.18 PM_3c2df8f683.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_30_Screen Shot 2018-06-08 at 5.13.18 PM_3c2df8f683,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-3c2df8f683,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_30_Screen Shot 2018-06-08 at 5.13.18 PM_3c2df8f683.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.33.11 PM_5d890ca6f1.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.33.11 PM_5d890ca6f1,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-5d890ca6f1,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.33.11 PM_5d890ca6f1.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,test
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f572_8de2e9d9f8.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f572_8de2e9d9f8,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-8de2e9d9f8,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f572_8de2e9d9f8.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,test
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f420_fc1f7e40c8.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f420_fc1f7e40c8,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-fc1f7e40c8,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f420_fc1f7e40c8.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.33.33 PM_446093eea7.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.33.33 PM_446093eea7,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-446093eea7,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.33.33 PM_446093eea7.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f357_0453547b8a.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f357_0453547b8a,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-0453547b8a,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f357_0453547b8a.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.08.58 PM_9fecdd941f.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.08.58 PM_9fecdd941f,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-9fecdd941f,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.08.58 PM_9fecdd941f.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f131_4ec501f092.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f131_4ec501f092,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-4ec501f092,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f131_4ec501f092.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f123_02baac69af.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f123_02baac69af,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-02baac69af,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f123_02baac69af.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f384_82f1da4858.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f384_82f1da4858,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-82f1da4858,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f384_82f1da4858.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.27.34 PM_cbc9d63261.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.27.34 PM_cbc9d63261,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-cbc9d63261,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.27.34 PM_cbc9d63261.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_30_Screen Shot 2018-06-08 at 5.04.11 PM_b08918a7f9.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_30_Screen Shot 2018-06-08 at 5.04.11 PM_b08918a7f9,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-b08918a7f9,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_30_Screen Shot 2018-06-08 at 5.04.11 PM_b08918a7f9.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,val
APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.03.40 PM_82ba5b3534.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.03.40 PM_82ba5b3534,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-82ba5b3534,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.03.40 PM_82ba5b3534.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f109_45b6f2c823.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f109_45b6f2c823,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-45b6f2c823,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_a_f109_45b6f2c823.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_vertical_flip_Screen Shot 2018-06-08 at 5.10.21 PM_270c872038.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_vertical_flip_Screen Shot 2018-06-08 at 5.10.21 PM_270c872038,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-270c872038,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_vertical_flip_Screen Shot 2018-06-08 at 5.10.21 PM_270c872038.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.13.40 PM_31b6a66a26.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.13.40 PM_31b6a66a26,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-31b6a66a26,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.13.40 PM_31b6a66a26.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.33.27 PM_432313b1a9.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.33.27 PM_432313b1a9,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-432313b1a9,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_translation_Screen Shot 2018-06-08 at 5.33.27 PM_432313b1a9.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.06.28 PM_e973c69003.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.06.28 PM_e973c69003,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-e973c69003,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.06.28 PM_e973c69003.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.28.42 PM_30de61fff0.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.28.42 PM_30de61fff0,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-30de61fff0,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_15_Screen Shot 2018-06-08 at 5.28.42 PM_30de61fff0.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.27.54 PM_622a5a473a.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.27.54 PM_622a5a473a,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-622a5a473a,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_saltandpepper_Screen Shot 2018-06-08 at 5.27.54 PM_622a5a473a.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_45_Screen Shot 2018-06-08 at 5.03.47 PM_9e13c38a70.png,APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_45_Screen Shot 2018-06-08 at 5.03.47 PM_9e13c38a70,Fresh,0,Apple,,Apple,Malus domestica,unknown_public,APL-PUB-9e13c38a70,,unknown,,,,,,,Fresh,0,Fresh_OK,7.0,,public_source,uncontrolled,,,HF_Densu341_FreshRotten,unknown,unknown,images/Fruit/Apple/Fresh/APL-PUB_Fresh_HF_Densu341_FreshRotten_rotated_by_45_Screen Shot 2018-06-08 at 5.03.47 PM_9e13c38a70.png,TRUE,HF_Densu341_FreshRotten,train,mapped_from_public_annotation,TRUE,train
